web-scraper-order,web-scraper-start-url,house-link,house-link-href,title,rent-cost,house-area,location,bedroom,bathroom
"1716832619-41","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Cho thuê nhà đường Thủ Khoa Huân, Phường An Hải Đông, Sơn Trà, 130m2 giá 7 triệu/tháng","7 triệu/tháng","130 m²","Sơn Trà, Đà Nẵng","3","2"
"1716832619-42","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","CHO THUÊ 02 NHÀ RIÊNG nội thất mới tiện nghi , đầy đủ số 80 đường Hoàng văn Thụ gần nhà hát lớn HP:","5,5 triệu/tháng","40 m²","Hồng Bàng, Hải Phòng","1","1"
"1716832619-43","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Chính chủ cho thuê nhà riêng 5 tầng 52m ngõ 226 Cầu Giấy","16 triệu/tháng","52 m²","Cầu Giấy, Hà Nội","4","4"
"1716832619-44","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Chính chủ cho thuê đường Lò Chén Thủ Dầu Một giá 5 triệu, 64m2","5 triệu/tháng","64 m²","Thủ Dầu Một, Bình Dương","1","2"
"1716832619-45","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Cho thuê nhà riêng ngõ 2, phố Cầu Đất, P. Chương Dương, Hoàn Kiếm, Hà Nội","8 triệu/tháng","37 m²","Hoàn Kiếm, Hà Nội","3","2"
"1716832619-46","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Chính chủ cho thuê nhà 50m2*5 tầng, 6 phòng ngủ mới 99% ở 156 Hồng Mai - HBT","20 triệu/tháng","50 m²","Hai Bà Trưng, Hà Nội","6","4"
"1716832619-47","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Cho thuê nhà riêng 400m2 tại hẻm 37 Trần Đình Xu","37 triệu/tháng","100 m²","Quận 1, Hồ Chí Minh","",""
"1716832619-48","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Chính chủ cho thuê nhà riêng Q. Tân Bình, HCM, 4x18m2, xe tải đỗ cửa","14 triệu/tháng","72 m²","Tân Bình, Hồ Chí Minh","3",""
"1716832619-49","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Cho thuê Mặt bằng HXH 95/47 Nguyễn Văn Trỗi, P11, Phú Nhuận - Giá thuê 11tr/tháng","11 triệu/tháng","32 m²","Phú Nhuận, Hồ Chí Minh","",""
"1716832619-50","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Cho thuê nhà mới - Ngô Gia Tự - nhà nguyên căn 40m2 x 5 tầng full nội thất","10 triệu/tháng","40 m²","Long Biên, Hà Nội","3","4"
"1716832619-51","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Cho thuê nhà riêng làm văn phòng","20 triệu/tháng","42 m²","Thanh Xuân, Hà Nội","",""
"1716832619-52","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Cho thuê nhà nguyên căn để ở số 752/38/25 Lạc Long Quân P9 Q Tân Bình (72m2, 2 phòng ngủ, 2 toilet)","7,5 triệu/tháng","72 m²","Tân Bình, Hồ Chí Minh","2","2"
"1716832619-53","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Cho thuê nhà cấp 4 51/21 Hiệp Bình","7 triệu/tháng","72 m²","Thủ Đức, Hồ Chí Minh","",""
"1716832619-54","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Gấp chính chủ cho thuê mặt bằng HXH 150 Nguyễn Trãi nhà mới xây 6*20m (3 sàn), giá sốc 58tr","58 triệu/tháng","120 m²","Quận 1, Hồ Chí Minh","",""
"1716832619-55","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Chính chủ cho thuê nhà 4 tầng, diện tích 120m2, sàn xây dựng 400m2","27 triệu/tháng","120 m²","Hoàng Mai, Hà Nội","5","5"
"1716832619-56","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Chính chủ cho thuê nhà tại 93/10 đường Lê Lợi chỉ 16tr/tháng.","16 triệu/tháng","110 m²","Vũng Tàu, Bà Rịa Vũng Tàu","4","5"
"1716832619-57","https://batdongsan.com.vn/cho-thue-nha-rieng","4","https://batdongsan.com.vn/cho-thue-nha-rieng/p4","Cho thuê nhà ở, văn phòng phố Cửa Nam","11 triệu/tháng","40 m²","Hoàn Kiếm, Hà Nội","1","1"
